fs, files, files.sec
btrfs, 2500000, 185.271631
btrfs, 2510000, 185.685056
btrfs, 2520000, 183.640571
btrfs, 2530000, 183.839367
btrfs, 2540000, 181.717640
btrfs, 2550000, 182.363932
btrfs, 2560000, 181.208199
btrfs, 2570000, 180.020937
btrfs, 2580000, 180.503143
btrfs, 2590000, 179.603788
btrfs, 2600000, 180.002744
btrfs, 2610000, 178.125547
btrfs, 2620000, 178.456510
btrfs, 2630000, 177.892561
btrfs, 2640000, 176.631468
btrfs, 2650000, 176.745458
btrfs, 2660000, 177.288514
btrfs, 2670000, 176.001148
btrfs, 2680000, 175.434329
btrfs, 2690000, 174.667429
btrfs, 2700000, 175.059518
btrfs, 2710000, 174.621789
btrfs, 2720000, 174.205064
btrfs, 2730000, 173.381196
btrfs, 2740000, 172.799468
btrfs, 2750000, 172.559923
btrfs, 2760000, 172.518425
btrfs, 2770000, 171.858233
btrfs, 2780000, 171.403211
btrfs, 2790000, 170.266770
btrfs, 2800000, 169.747269
btrfs, 2810000, 169.950419
btrfs, 2820000, 169.344629
btrfs, 2830000, 169.376533
btrfs, 2840000, 168.211718
btrfs, 2850000, 167.841927
btrfs, 2860000, 167.246125
btrfs, 2870000, 166.716715
btrfs, 2880000, 166.120484
btrfs, 2890000, 165.584784
btrfs, 2900000, 165.367789
btrfs, 2910000, 164.553787
btrfs, 2920000, 164.219439
btrfs, 2930000, 163.562833
btrfs, 2940000, 163.474722
btrfs, 2950000, 162.621487
btrfs, 2960000, 162.267446


xfs, 10000, 27100.491332
xfs, 20000, 53992.910731
xfs, 30000, 77631.514254
xfs, 40000, 87709.488632
xfs, 50000, 72545.776385
xfs, 60000, 86274.577470
xfs, 70000, 95574.491441
xfs, 80000, 81282.970405
xfs, 90000, 23793.101534
xfs, 100000, 26429.687517
xfs, 110000, 25915.359963
xfs, 120000, 20299.533145
xfs, 130000, 9440.787995
xfs, 140000, 10156.884692
xfs, 150000, 10257.392862
xfs, 160000, 8276.178133
xfs, 170000, 4233.790088
xfs, 180000, 4463.856489
xfs, 190000, 2662.527250
xfs, 200000, 2794.997876
xfs, 210000, 2842.811336
xfs, 220000, 2969.628048
xfs, 230000, 3104.114539
xfs, 240000, 3173.867937
xfs, 250000, 3155.340970
xfs, 260000, 3280.723856
xfs, 270000, 3397.432782
xfs, 280000, 3424.036634
xfs, 290000, 3314.847912
xfs, 300000, 3418.150795
xfs, 310000, 3519.067403
xfs, 320000, 3501.999478
xfs, 330000, 3205.656410
xfs, 340000, 3293.202210
xfs, 350000, 3380.690823
xfs, 360000, 3351.670759
xfs, 370000, 1960.631609
xfs, 380000, 2013.193730
xfs, 390000, 2063.402060
xfs, 400000, 2109.753290
xfs, 410000, 2128.041197
xfs, 420000, 2179.807618
xfs, 430000, 2223.834013
xfs, 440000, 2258.984572
xfs, 450000, 2268.704459
xfs, 460000, 2319.036916
xfs, 470000, 2358.733387
xfs, 480000, 2389.213299
xfs, 490000, 2387.096626
xfs, 500000, 2435.787205
xfs, 510000, 2475.218789
xfs, 520000, 2494.916751
xfs, 530000, 2446.080889
xfs, 540000, 2468.036979
xfs, 550000, 2274.571001
xfs, 560000, 2315.847421
xfs, 570000, 1882.200780
xfs, 580000, 1914.221946
xfs, 590000, 1943.659645
xfs, 600000, 1976.564266
xfs, 610000, 1994.053901
xfs, 620000, 2019.563518
xfs, 630000, 2044.111863
xfs, 640000, 2075.187547
xfs, 650000, 2084.202359
xfs, 660000, 2107.609839
xfs, 670000, 2128.607004
xfs, 680000, 2158.643326
xfs, 690000, 2158.819096
xfs, 700000, 2177.546645
xfs, 710000, 2192.871106
xfs, 720000, 2222.294584
xfs, 730000, 1821.796112
xfs, 740000, 1840.136807
xfs, 750000, 1854.328209
xfs, 760000, 1879.051725
xfs, 770000, 1850.583588
xfs, 780000, 1871.170986
xfs, 790000, 1888.017834
xfs, 800000, 1911.876987
xfs, 810000, 1919.225731
xfs, 820000, 1935.276088
xfs, 830000, 1947.757726
xfs, 840000, 1971.198698
xfs, 850000, 1969.293114
xfs, 860000, 1982.223430
xfs, 870000, 1838.250943
xfs, 880000, 1856.368778
xfs, 890000, 1843.463426
xfs, 900000, 1721.953857
xfs, 910000, 1734.142269
xfs, 920000, 1751.740416
xfs, 930000, 1750.775520
xfs, 940000, 1765.668285
xfs, 950000, 1699.777944
xfs, 960000, 1717.389777
xfs, 970000, 1720.100404
xfs, 980000, 1731.972774
xfs, 990000, 1644.142225
xfs, 1000000, 1653.050397
xfs, 1010000, 1664.911281
xfs, 1020000, 1604.435758
xfs, 1030000, 1615.768158
xfs, 1040000, 1620.590475
xfs, 1050000, 1552.457460
xfs, 1060000, 1567.212820
xfs, 1070000, 1576.426299
xfs, 1080000, 1520.275916
xfs, 1090000, 1530.391678
xfs, 1100000, 1543.668683
xfs, 1110000, 1550.993738
xfs, 1120000, 1479.696877
xfs, 1130000, 1487.617124
xfs, 1140000, 1500.151916
xfs, 1150000, 1508.162737
xfs, 1160000, 1440.603908
xfs, 1170000, 1448.742954
xfs, 1180000, 1407.475286
xfs, 1190000, 1418.430816
xfs, 1200000, 1424.198610
xfs, 1210000, 1382.500960
xfs, 1220000, 1390.508239
xfs, 1230000, 1401.060044
xfs, 1240000, 1362.570883
xfs, 1250000, 1369.500070
xfs, 1260000, 1379.374090
xfs, 1270000, 1388.033286
xfs, 1280000, 1343.621217
xfs, 1290000, 1345.156263
xfs, 1300000, 1355.581710
xfs, 1310000, 1333.582491
xfs, 1320000, 1341.225441
xfs, 1330000, 1286.494578
xfs, 1340000, 1296.160126
xfs, 1350000, 1302.984234
xfs, 1360000, 1310.657928
