fs, data.set, circle.size.4kb, op, time.s
BetrFS-0.2, linuxsrc, 8, grep, 6.842
BetrFS-0.2, linuxsrc, 8, grep, 6.666
BetrFS-0.2, linuxsrc, 8, grep, 7.125
BetrFS-0.2, linuxsrc, 8, grep, 6.542
BetrFS-0.2, linuxsrc, 8, grep, 6.633
BetrFS-0.2, linuxsrc, 8, grep, 7.257
BetrFS-0.2, linuxsrc, 8, grep, 6.800
BetrFS-0.2, linuxsrc, 8, grep, 7.882
######################################
BetrFS-0.2, linuxsrc, 4, grep, 7.065
BetrFS-0.2, linuxsrc, 4, grep, 6.665
BetrFS-0.2, linuxsrc, 4, grep, 7.132
BetrFS-0.2, linuxsrc, 4, grep, 6.657
BetrFS-0.2, linuxsrc, 4, grep, 6.840
BetrFS-0.2, linuxsrc, 4, grep, 6.773
BetrFS-0.2, linuxsrc, 4, grep, 6.832
BetrFS-0.2, linuxsrc, 4, grep, 7.106
BetrFS-0.2, linuxsrc, 4, grep, 6.640
BetrFS-0.2, linuxsrc, 4, grep, 6.607
BetrFS-0.2, linuxsrc, 4, grep, 7.340
BetrFS-0.2, linuxsrc, 4, grep, 6.882
BetrFS-0.2, linuxsrc, 4, grep, 6.998
BetrFS-0.2, linuxsrc, 4, grep, 6.824
BetrFS-0.2, linuxsrc, 4, grep, 6.999
BetrFS-0.2, linuxsrc, 4, grep, 7.489
BetrFS-0.2, linuxsrc, 4, grep, 6.849
BetrFS-0.2, linuxsrc, 4, grep, 6.732
BetrFS-0.2, linuxsrc, 4, grep, 6.849
BetrFS-0.2, linuxsrc, 4, grep, 6.899
BetrFS-0.2, linuxsrc, 4, grep, 7.456
BetrFS-0.2, linuxsrc, 4, grep, 6.790
BetrFS-0.2, linuxsrc, 4, grep, 6.849
BetrFS-0.2, linuxsrc, 4, grep, 7.381
BetrFS-0.2, linuxsrc, 4, grep, 6.848
BetrFS-0.2, linuxsrc, 4, grep, 6.965
BetrFS-0.2, linuxsrc, 4, grep, 7.123
BetrFS-0.2, linuxsrc, 4, grep, 6.999
BetrFS-0.2, linuxsrc, 4, grep, 7.139
BetrFS-0.2, linuxsrc, 4, grep, 6.732
BetrFS-0.2, linuxsrc, 4, grep, 6.849
BetrFS-0.2, linuxsrc, 4, grep, 6.965
BetrFS-0.2, linuxsrc, 4, grep, 7.407
BetrFS-0.2, linuxsrc, 4, grep, 6.882
BetrFS-0.2, linuxsrc, 4, grep, 6.949
BetrFS-0.2, linuxsrc, 4, grep, 7.273
BetrFS-0.2, linuxsrc, 4, grep, 6.840
BetrFS-0.2, linuxsrc, 4, grep, 8.180
BetrFS-0.2, linuxsrc, 4, grep, 7.024
BetrFS-0.2, linuxsrc, 4, grep, 6.874
BetrFS-0.2, linuxsrc, 4, grep, 7.381
BetrFS-0.2, linuxsrc, 4, grep, 6.924
BetrFS-0.2, linuxsrc, 4, grep, 6.849
